"","salle85","lbooth3","jbro371","pcastr1","ccroc24","kdrigg2","charne3","mjohn74","gkilch1","jkilgo6","rlee64","smanto3","cmcgre7","hmoor29","wmulli8","kmyer22","zpater1","eperke1","jponth4","jric186","jric194","brobi61","bsvate1","ctai3","tvaugh8","ewebbe2"
"3.a",1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
"3.b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3.d",4,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4
"4.a",2,2,2,2,2,2,2,2,2,2,2,2,0.5,2,2,2,2,2,2,2,2,2,2,2,2,2
"5",2,2,2,2,2,1.5,2,1,2,2,2,1.5,2,1.5,2,2,2,2,1.5,0,2,2,2,2,2,1.5
"6.1",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6.2",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6.3",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6.4",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6.a",1,1,1,0.94,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
"6.b",1,1,1,0.94,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",4,10,10,7.5,10,10,10,10,10,1.88,0,9.75,6.5,2,10,10,10,10,9.38,5.5,2,10,10,10,10,10
"8",2,2,2,2,2,2,2,2,2,0,1.5,2,0,0,2,0.5,2,2,2,0,0,2,0,2,0,2
"9.a",0,2.25,0,0,3,3,3,3,3,0,0,0.75,0,0,3,3,3,0,3,2.25,0,0,0,3,0,3
"10.a",0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0,1,0.75,1
"10.b",0,3,0,0,4,4,4,4,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,4,0,4
"11.a",0,3,0,3,2.25,3,3,3,3,0,3,0,0,2.25,3,3,3,1.5,3,2.25,2.25,0.75,0,3,0,3
"12.a",1,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,0,2,2,2,2,1.5,2
"13.a",0,2,0,0,0,2,2,2,0.5,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,1
"14.a",0,2,0,2,2,2,2,2,2,0,1,0,1.5,0,2,1,2,2,2,0,2,0,2,2,2,2
"14.b",0,1,0,1,1,1,1,1,1,0,0,0,0,0,1.25,0.25,1.25,1,0.25,0,0,0,1,1,1,0.25
"14.c",0,1,0,1,1,1,0,1,1,0,0,0,0,0,1.25,0.25,1.25,1,0.5,0,1,0,1,1,1,1
"14.d",0,1,0,1,1,1,0,1,0.5,0,0,0,0,0,1.25,0.25,1,1,0.5,0,1,0,1,1,1,1
"15.a",0,2.5,0,5,5,5,0,5,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,5,0,0,5
"17",0,2,0,2,2,2,2,2,2,0,0.5,0.5,0,0,2,2,2,2,2,0,2,0,2,2,2,2
"17.a",0,1,0,4,4,4,1,4,4,0,0,1,0,0,2.5,0,4,4,3.25,0,3,0,4,4,3.25,4
"17.e",0,0,0,1,1,1,0,1,1,0,0,0.25,0,0,0,0,1,1,0.75,0,0.75,0,1,1,0,1
"18",0,2,1.5,2,2,2,0,2,2,0,0,0.5,0,0,2,0,2,2,2,2,2,0,2,2,0,1.5
"18.a",0,1,0.38,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.25,0,1,1,0,0
"18.b",0,0.5,1,1,1,1,0,1,1,0,0,0,0.5,0,1,0,0.75,0.75,1,0.75,1,0,0.75,1,0,0
"19.a",0,2,2,2,2,2,2,2,2,1.5,2,1.5,2,2,2,2,1.5,2,2,2,2,0,2,2,2,2
"19.b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1
"19.c",1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.25,1,1,1,1,0,1
"19.d",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"20.1",0,2,0,2,2,2,2,2,2,0,0,0,0,0,2,0,2,0,2,0,2,0,0,2,0,2
"20.2",0,2,0,2,2,2,2,2,2,0,0,0,0,0,2,0,2,0,2,0,2,0,0,2,0,2
"20.3",0,2,0,2,2,2,2,2,2,0,0,0,0,0,2,0,2,0,2,0,2,0,0,2,0,2
"21.1",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"21.2",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"21.3",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"22.a",0,0.25,0,0,1,1,0.75,1,0,0,0,1,0,0,0,0,0.25,0,0,0,1,0,0,1,0,0
"22.b",0,0.25,0,0,1,1,0.75,1,0,0,0,1,0,0,0,0,0.25,0,0,0,1,0,0,1,0,0
"22.c",0,0.25,0,0,1,1,0.75,1,0,0,0,1,0,0,0,0,0.25,0,0,0,1,0,0,1,0,0
"23.1",1,0.25,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0
"23.2",1,0.25,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0
"23.3",1,0.25,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0
"24",0,2,0,2,2,2,0,2,0.5,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,0,0.5
"25",0,2,0,2,2,2,2,2,2,0,0.5,2,0,0,2,0,2,1.5,0,1,2,0,0,2,0,0
"25.ac",0,2,0,1.38,1.38,2,1.38,2,1.88,0,0,1.88,0,0,0,0,0.5,0.5,1.88,0.5,1.88,0,0,1.88,0,0
"25.b",0,1,0,1,1.5,1,1,1.25,1,0,0,1.25,0,0,1,0,1,1,1,0.25,0.25,0,0,1,0,0
