"","cmcgre7","jkilgo6","ccroc24","charne3","jponth4","lbooth3","tvaugh8"
"1",1,0.25,0.5,1,1,0.25,0
"1",0.25,0.25,0.25,0,0,0,0
"1",0,0,1,1,1,1,1
"0.5",0,0.5,0.5,0.5,0.5,0.5,0.5
"0.5",0,0.5,0.5,0.5,0.5,0.5,0.5
"0.5",0,0.12,0.38,0.25,0.38,0.38,0.25
"0.5",0,0,0.38,0.25,0.38,0.38,0.25
"1",0,1,1,1,1,1,1
"0.5",0.38,0.5,0.5,0.5,0.5,0.5,0.5
"0.5",0.38,0.5,0.5,0.5,0.5,0.5,0.5
"0.5",0.38,0.5,0.5,0.5,0.5,0.5,0.5
"2",0,2,2,0.5,2,2,2
"0.5",0,0.5,0.5,0.38,0.5,0.5,0.5
"1",1,0,0.75,0.75,0.75,0.75,0.75
"1",0.75,0,1,1,1,1,1
"1",0.5,0,1,1,1,1,1
"0.5",0,0,0.62,0.62,0.62,0.62,0.62
"0",0,0,0,0.5,0.5,0.5,0.5
"2",0,0,0,1.62,1.62,1.62,1.62
"0.5",0.12,0,0.38,0.5,0.5,0.5,0.5
"0.5",0,0,0.62,0.62,0.62,0.62,0.62
"1",1,1,1.25,1.25,1.25,1.25,1.25
"2",0,0,1.88,1.5,1.88,1.88,1.88
"1.5",0,0,1.25,1.25,1.25,1.25,1.25
"0.5",0.12,0,0.38,0.38,0.38,0.38,0.38
"2",0,0,0,0,0,0,0
